Instance,TSP Twice Around Cost,Elapsed Time (TAT),Memory Usage (TAT) (MB),TSP Christofides Cost,Elapsed Time (Christofides),Memory Usage (Christofides) (MB)
berlin52.tsp,10403.860360720962,0.012964487075805664,279.9609375,8688.454882387408,0.01897573471069336,279.9609375
d1291.tsp,74094.8681487169,38.56738495826721,302.6328125,57271.613801399435,17.383898496627808,302.6328125
d1655.tsp,85633.56603478009,120.61841821670532,467.0703125,70747.95522051766,86.79218244552612,467.0703125
d2103.tsp,139611.7088568382,33.46128749847412,375.85546875,84644.34698729179,15.925847053527832,375.85546875
eil51.tsp,615.3516613199517,0.015542268753051758,342.20703125,473.38800949455737,0.015957355499267578,342.20703125
eil76.tsp,749.2749518743223,0.04684138298034668,342.2890625,601.5612436908314,0.05336904525756836,342.2890625
fl1400.tsp,29220.14789901064,194.53373289108276,634.83984375,22998.68065455046,200.35535669326782,634.83984375
lin318.tsp,58400.64981712333,1.6335830688476562,630.26171875,47991.87420718614,1.1749603748321533,630.26171875
p654.tsp,47341.86499942481,17.852919101715088,708.484375,39298.29443925391,1.384009599685669,708.484375
pr1002.tsp,352222.80527859594,56.79483699798584,342.62890625,285916.5764392768,41.83784508705139,342.62890625
pr107.tsp,55323.133857628345,0.10935592651367188,335.33203125,47894.18468460625,0.051898956298828125,335.33203125
pr226.tsp,114445.77167159381,0.3731822967529297,338.7265625,91908.32187868893,0.14785289764404297,338.7265625
pr439.tsp,146142.400764003,2.482532024383545,354.484375,118337.42354711442,1.9402759075164795,354.484375
pr76.tsp,147670.29504968802,0.02190709114074707,353.2265625,116683.53464597449,0.020943641662597656,353.2265625
rat575.tsp,9379.705735426041,12.343662023544312,326.28515625,7846.9641105379915,10.480276823043823,326.28515625
rat783.tsp,12025.97689312722,30.070207118988037,339.15234375,10091.83287669059,26.639854192733765,339.15234375
st70.tsp,820.053069482393,0.02943587303161621,334.48828125,753.1538950758659,0.03889584541320801,334.48828125
u1432.tsp,218373.1585692354,204.64906764030457,537.30078125,172808.262779635,64.6213026046753,537.30078125
u2319.tsp,333874.62107285374,1348.7006387710571,1630.4375,251648.16439011553,51.080599546432495,1630.4375
